,"Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$"
"Maldives","719.5","760.2","615.4","444.2","356.5","314.5","271.9","319.2","385.3","421.2","217.6","142.4","108.3","91.3","74.8","71.7","74.8","73.3"
"Mali","11.0","9.4","6.9","7.5","6.6","3.2","5.1","4.7","4.5","4.8","5.6","6.3","6.7","7.0","5.6","3.7","3.3","3.6"
"Malta","1630.7","1463.7","1364.5","1513.9","1432.9","1246.2","1263.2","1119.5","1088.9","1134.0","1066.3","1009.8","953.7","851.1","750.2","584.8","471.0","464.6"
"Marshall Islands","242.9","263.3","224.9","202.4","232.6","207.7","192.4","139.1","157.9","161.6","205.2","115.2","148.5","167.8","151.0","160.2","185.8","213.0"
"Mauritania","18.9","17.8","20.9","20.3","19.8","15.8","13.6","11.4","11.8","13.6","10.0","8.2","7.7","5.7","5.4","5.4","3.4","3.1"
"Mauritius","257.1","244.0","220.5","252.2","189.2","177.0","163.1","162.1","117.5","113.5","98.6","93.9","95.3","103.3","85.0","71.9","64.3","63.7"
"Mexico","254.8","248.7","286.1","317.3","326.0","299.6","290.1","262.1","222.9","255.5","237.8","214.6","199.4","189.2","166.6","160.2","154.9","140.0"
"Micronesia (Federated States of)","109.6","107.7","97.3","102.4","84.6","81.3","91.2","65.6","58.9","74.2","60.1","62.6","62.6","52.4","48.3","38.4","41.0","37.9"
"Monaco","2337.3","2338.8","2680.7","3129.8","3010.0","2761.7","2867.4","2744.2","2763.1","2800.2","2396.1","2174.4","2133.8","2096.8","1806.0","1258.6","1150.2","1129.2"
"Mongolia","91.8","97.0","94.3","99.2","99.2","102.3","80.4","64.8","53.3","68.9","47.1","33.3","22.7","21.2","18.0","20.4","18.3","20.1"
"Morocco","69.1","65.2","61.2","69.1","79.5","72.0","72.6","67.3","73.1","62.3","55.8","40.5","25.2","25.4","21.8","17.5","14.7","13.2"
"Mozambique","6.3","5.7","8.7","12.4","9.7","8.1","2.1","2.8","3.3","6.0","9.3","11.2","11.4","8.9","7.8","7.5","8.3","7.8"
"Myanmar","8.6","8.2","13.6","12.8","6.9","4.8","2.4","1.5","1.2","0.9","0.7","0.8","0.4","0.6","0.5","0.7","0.4","0.4"
"Namibia","206.4","189.0","196.9","203.5","219.5","222.5","229.2","207.0","143.6","166.5","197.1","161.7","162.5","163.8","131.0","88.5","90.8","99.8"
"Nauru","796.4","866.5","574.1","542.4","440.5","389.6","378.4","375.1","297.4","446.3","408.1","317.1","293.7","254.9","275.3","208.1","199.6","235.1"
"Nepal","10.7","8.4","7.5","7.1","5.7","5.9","6.1","5.4","4.3","3.6","3.2","3.3","2.8","2.1","2.0","2.2","1.6","1.3"
"Netherlands","3162.9","3081.0","3041.8","3784.5","3722.8","3529.3","3739.3","3488.7","3508.8","3570.1","3248.1","2859.0","2615.1","2526.3","2271.2","1772.5","1513.6","1396.7"
"New Zealand","2970.9","2792.2","2675.7","3209.3","3071.0","2988.5","2856.6","2517.4","2099.1","2204.0","2140.5","1777.5","1766.1","1528.2","1216.2","933.9","767.9","785.1"
"Nicaragua","111.6","112.9","92.2","89.0","72.8","66.0","61.7","45.1","51.5","47.8","40.1","32.3","31.6","27.7","20.3","25.3","26.6","26.2"
"Niger","9.8","5.5","5.4","7.2","7.4","5.5","6.5","6.2","7.1","7.4","5.8","6.9","6.2","3.4","2.9","2.7","2.4","2.2"
"Nigeria","10.5","10.3","16.1","14.4","14.7","15.0","12.2","10.4","11.0","14.5","13.9","14.1","13.9","11.6","7.3","3.9","5.0","3.2"
"Niue","906.7","831.4","835.6","1169.1","1098.7","1068.8","2083.3","1149.0","1538.6","1498.6","1218.0","3408.4","660.2","810.9","496.3","459.7","1439.8","313.4"
"Norway","6783.5","6400.7","6469.6","7776.9","7857.2","7602.6","7514.0","6655.5","6165.5","6535.6","5771.7","4911.3","4638.1","4231.7","3852.8","3224.2","2566.0","2408.8"
"Oman","515.6","573.1","631.6","648.1","516.9","465.2","438.0","437.6","386.2","350.2","311.1","268.7","263.7","246.9","238.5","229.1","214.4","215.4"
"Pakistan","14.1","11.8","10.4","9.4","8.5","8.2","7.4","5.8","5.5","5.2","6.4","4.2","4.5","4.5","3.7","6.0","5.0","5.6"
